,Input,PID
303,-3.0,-10.119497844871832
304,-3.0,-8.247358822123738
305,-3.0,-7.945013542931727
306,-3.0,-5.75234288013161
307,-3.0,-3.416983023252609
308,-3.0,-0.6112121966167029
309,-3.0,0.21691718696175263
310,-3.0,2.264070614761805
311,-3.0,2.233021378780872
312,-3.0,1.9609313627782752
313,-3.0,1.3623771953337835
314,-3.0,0.8290436375328634
315,-3.0,0.29999529939678127
316,-3.0,-0.642453704644939
317,-3.0,-1.8680990086549716
318,-3.0,-2.035633719008908
319,-3.0,-2.634915194372912
320,-3.0,-2.6981151898087283
321,-3.0,-2.784873713561401
322,-3.0,-2.4550278930707026
323,-3.0,-2.1341386306337897
324,-3.0,-1.1955322939310091
325,-3.0,-1.4979570476523592
326,-3.0,-1.0140129689885475
327,-3.0,-1.031990577760992
328,-3.0,-0.4699025912442348
329,-3.0,-1.3808796942450696
330,-3.0,-1.9184881191083507
331,-3.0,-1.6985607635506947
332,-3.0,-1.357971851060188
333,-3.0,-2.04388865245033
334,-3.0,-2.039536417222968
335,-3.0,-2.4408601894276343
336,-3.0,-1.403334222301218
337,-3.0,-3.0816037561596072
338,-3.0,-1.5402344517444069
339,-3.0,-2.477581738710175
340,-3.0,-2.5252512177994046
341,-3.0,-1.620276103346721
342,-3.0,-2.2063243430112767
343,-3.0,-2.277300064598847
344,-3.0,-3.283440934722927
345,-3.0,-2.3900839895268824
346,-3.0,-2.3291050917055007
347,-3.0,-2.606633765074982
348,-3.0,-2.497983217847984
349,-3.0,-1.5720439828876032
350,-3.0,-1.5434054885384139
351,-3.0,-2.50068200837704
352,-3.0,-1.6858564047625848
353,-3.0,-3.1953819170571207
354,0.0,-2.53214083926418
355,0.0,-1.1883259895744525
356,0.0,-0.06433073031583936
357,0.0,0.4980460804098524
358,0.0,1.1924157145065273
359,0.0,0.9493710520551197
360,0.0,1.6038539559765912
361,0.0,0.5382754724509775
362,0.0,-0.7535415575537464
363,0.0,0.17006865729982062
364,0.0,-0.6912404473544278
365,0.0,3.8053890013323635
366,0.0,5.923443610025137
367,0.0,6.730049967612095
368,0.0,7.009792632059442
369,0.0,4.450698238392787
370,0.0,3.0185883281359516
371,0.0,0.8450744633134661
372,0.0,-0.6286683481252178
373,0.0,-1.958617952631843
374,0.0,-1.4577285934113986
